issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
166689	2009	-1	2009/-1	911368-0_icon.jpg	4	40	28
289884	2009	1	2009/1	1984048-x_men223_icon.jpg	343	28	17
300024	2009	1	2009/1	2059690-85_icon.jpg	17	26	37
300373	2009	1	2009/1	2061171-97_icon.jpg	251	40	8
178421	2009	10	2009/10	1003365-xmn_icon.jpg	359	30	32
264384	2009	10	2009/10	1694004-183_icon.jpg	12	38	26
300033	2009	10	2009/10	2059700-94_icon.jpg	15	40	11
167374	2009	10	2009/10	922386-prv3206_cov_icon.jpg	49	51	9
168320	2009	10	2009/10	932070-darkave_icon.jpg	328	35	9
168465	2009	10	2009/10	932884-18_icon.jpg	27	28	26
175163	2009	10	2009/10	983114-dpv3_016_c01_icon.jpg	4	63	24
182578	2009	11	2009/11	1023544-prv3765_cov_icon.jpg	6	45	9
186229	2009	11	2009/11	1050140-avengers_xmen_utopia_icon.jpg	35	28	18
264375	2009	11	2009/11	1693931-184_icon.jpg	21	40	24
171387	2009	11	2009/11	2207604-01_icon.jpg	296	50	1
172433	2009	11	2009/11	965388-num_risation0005_icon.jpg	18	35	35
173708	2009	11	2009/11	975429-x_force__019_000_icon.jpg	18	18	40
190409	2009	12	2009/12	1078379-xforcenotforgotten3_icon.jpg	15	32	17
264373	2009	12	2009/12	1693853-185_icon.jpg	15	34	21
300384	2009	12	2009/12	2061185-108_icon.jpg	13	57	9
176851	2009	12	2009/12	997522-prv3616_cov_icon.jpg	14	23	20
300025	2009	2	2009/2	2059691-86_icon.jpg	22	28	33
300374	2009	2	2009/2	2061175-98_icon.jpg	14	34	34
306209	2009	2	2009/2	2119807-6_17_145_1_icon.jpg	21	37	53
277054	2009	3	2009/3	1886765-x_men_deluxe167_icon.jpg	19	33	40
289901	2009	3	2009/3	1984078-x_men225_icon.jpg	33	50	15
300026	2009	3	2009/3	2059692-87_icon.jpg	22	34	30
300375	2009	3	2009/3	2061176-99_icon.jpg	28	37	40
306210	2009	3	2009/3	2119808-6_17_146_1_icon.jpg	19	36	37
306211	2009	4	2009/4	2119809-6_17_147_1_icon.jpg	52	39	14
264305	2009	5	2009/5	1692888-177_icon.jpg	18	44	38
153653	2009	5	2009/5	746702-001_icon.jpg	22	33	21
