issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
24691	1984	9	22129-2569-24691-1-defenders-the_icon.jpg		
24783	1984	10	22211-2569-24783-1-defenders-the_icon.jpg		
24885	1984	11	22303-2569-24885-1-defenders-the_icon.jpg		
24901	1984	11	22319-3359-24901-1-prince-namor-the-su_icon.jpg		
25018	1984	12	22427-3345-25018-1-iceman_icon.jpg		
24988	1984	12	22397-2569-24988-1-defenders-the_icon.jpg		
25161	1985	1	22552-2569-25161-1-defenders-the_icon.jpg		
25280	1985	2	22663-3345-25280-1-iceman_icon.jpg		
25256	1985	2	22639-2569-25256-1-defenders-the_icon.jpg		
132148	1985	3	432251-DEF141_icon.jpg		
315364	1985	3	2195231-pxf1001_icon.jpg		
25398	1985	4	22769-3010-25398-1-rom_icon.jpg		
25385	1985	4	22756-2569-25385-1-defenders-the_icon.jpg		
25410	1985	4	22780-3345-25410-1-iceman_icon.jpg		
315363	1985	4	2195230-pxf1002_icon.jpg		
25484	1985	5	22846-2569-25484-1-defenders-the_icon.jpg		
25495	1985	5	22857-3010-25495-1-rom_icon.jpg		
25489	1985	5	22851-3143-25489-1-marvel-fanfare_icon.jpg		
25607	1985	6	22960-3345-25607-1-iceman_icon.jpg		
25581	1985	6	22935-2569-25581-1-defenders-the_icon.jpg		
315361	1985	6	2195228-pxf1004_icon.jpg		
145972	1985	6	641723-27_icon.jpg		
25681	1985	7	23027-2569-25681-1-defenders-the_icon.jpg		
25781	1985	8	23117-2569-25781-1-defenders-the_icon.jpg		
315359	1985	8	2195226-pxf1006_icon.jpg		
25875	1985	9	23205-2569-25875-1-defenders-the_icon.jpg		
315358	1985	9	2195224-pxf1007_icon.jpg		
315357	1985	10	2195221-pxf1008_icon.jpg		
26082	1985	11	23397-2569-26082-1-defenders-the_icon.jpg		
315356	1985	11	2195217-pxf1009_icon.jpg		
26189	1985	12	23495-2569-26189-1-defenders-the_icon.jpg		
315355	1985	12	2195213-pxf1010_icon.jpg		
145977	1985	12	641728-33_icon.jpg		
26395	1986	1	23680-2569-26395-1-defenders-the_icon.jpg		
