Mac and Me (1988),Stewart Raffill,Christine Ebersole,Jonathan Ward,Tina Caspary,Lauren Stanley,
My Stepmother Is an Alien (1988),Richard Benjamin,Dan Aykroyd,Kim Basinger,Jon Lovitz,Alyson Hannigan,
Leviathan (1989),George P. Cosmatos,Peter Weller,Richard Crenna,Amanda Pays,Daniel Stern,
RoboCop 2 (1990),Irvin Kershner,Peter Weller,Belinda Bauer,John Glover,Mario Machado,
Bill & Ted's Bogus Journey (1991),Pete Hewitt,Keanu Reeves,Alex Winter,William Sadler,Joss Ackland,
Suburban Commando (1991),Burt Kennedy,Hulk Hogan,Christopher Lloyd,Shelley Duvall,Larry Miller,
Forever Young (1992),Steve Miner,Mel Gibson,Jamie Lee Curtis,Elijah Wood,Isabel Glasser,
Freejack (1992),Geoff Murphy,Emilio Estevez,Mick Jagger,Rene Russo,Anthony Hopkins,
Honey I Blew Up the Kid (1992),Randal Kleiser,Rick Moranis,Marcia Strassman,Robert Oliveri,Daniel Shalikar,
Split Second (1992),Tony Maylam,Rutger Hauer,Kim Cattrall,Alastair Duncan,Michael J. Pollard,
Batman: Mask of the Phantasm (1993),Eric Radomski,Bruce W. Timm,Kevin Conroy,Dana Delany,Hart Bochner,Stacy Keach
RoboCop 3 (1993),Fred Dekker,Nancy Allen,Robert John Burke,Mario Machado,Remy Ryan,
Teenage Mutant Ninja Turtles III (1993),Stuart Gillard,Elias Koteas,Paige Turco,Stuart Wilson,Sab Shimono,
Frankenstein (1994),Kenneth Branagh,Robert De Niro,Kenneth Branagh,Helena Bonham Carter,Tom Hulce,
No Escape (1994),Martin Campbell,Ray Liotta,Lance Henriksen,Stuart Wilson,Kevin Dillon,
Street Fighter (1994),Steven E. de Souza,Jean-Claude Van Damme,Raul Julia,Ming-Na Wen,Damian Chapa,
Congo (1995),Frank Marshall,Laura Linney,Tim Curry,Dylan Walsh,Ernie Hudson,
Mighty Morphin Power Rangers: The Movie (1995),Bryan Spicer,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Jason David Frank,
Powder (1995),Victor Salva,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,
Species (1995),Roger Donaldson,Natasha Henstridge,Michael Madsen,Ben Kingsley,Alfred Molina,
Strange Days (1995),Kathryn Bigelow,Ralph Fiennes,Angela Bassett,Juliette Lewis,Tom Sizemore,
Chain Reaction (1996),Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward,
Eraser (1996),Charles Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn,
The Island of Dr. Moreau (1996),John Frankenheimer,David Thewlis,Marlon Brando,Val Kilmer,Fairuza Balk,
Multiplicity (1996),Harold Ramis,Michael Keaton,Andie MacDowell,Zack Duhame,Katie Schlossberg,
The Nutty Professor (1996),Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,
Phenomenon (1996),Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall,
Flubber (1997),Les Mayfield,Robin Williams,Marcia Gay Harden,Christopher McDonald,Ted Levine,
Mimic (1997),Guillermo del Toro,Mira Sorvino,Jeremy Northam,Alexander Goodwin,Giancarlo Giannini,
The Postman (1997),Kevin Costner,Kevin Costner,Will Patton,Larenz Tate,Olivia Williams,
RocketMan (1997),Stuart Gillard,Harland Williams,Jessica Lundy,William Sadler,Jeffrey DeMunn,
Steel (1997),Kenneth Johnson,Shaquille O'Neal,Annabeth Gish,Judd Nelson,Richard Roundtree,
Turbo: A Power Rangers Movie (1997),Shuki Levy,David Winning,Jason David Frank,Catherine Sutherland,Hilary Shepard,Jon Simanton
Volcano (1997),Mick Jackson,Tommy Lee Jones,Anne Heche,Gaby Hoffmann,Don Cheadle,
The Avengers (1998),Jeremiah Chechik,Ralph Fiennes,Uma Thurman,Sean Connery,Patrick Macnee,
Disturbing Behavior (1998),David Nutter,James Marsden,Katie Holmes,Nick Stahl,Tobias Mehler,
Lost in Space (1998),Stephen Hopkins,Gary Oldman,William Hurt,Matt LeBlanc,Mimi Rogers,
Mighty Joe Young (1998),Ron Underwood,Bill Paxton,Charlize Theron,Rade Serbedzija,Peter Firth,
Phantoms (1998),Joe Chappelle,Peter O'Toole,Rose McGowan,Joanna Going,Liev Schreiber,
Small Soldiers (1998),Joe Dante,Kirsten Dunst,Gregory Smith,David Cross,Jay Mohr,
Soldier (1998),Paul Anderson,Kurt Russell,Jason Scott Lee,Jason Isaacs,Connie Nielsen,
Baby Geniuses (1999),Bob Clark,Kathleen Turner,Christopher Lloyd,Kim Cattrall,Peter MacNicol,
